题目,答案,类别
以下说法正确的是() A . 二叉树的特点是每个结点至多只有两棵子树。 B . 二叉树的子树无左右之分。 C . 二叉树只能进行链式存储。 D . 树的结点包含一个数据元素及若干指向其子树的分支。,"A,D",树和二叉树
算法设计的要求包括____。 A . 正确性 B . 可读性 C . 健壮性 D . 确定性,"A,B,C",绪论
下列属于算法的重要特征的是： A . 有穷性 B . 确定性 C . 可行性 D . 输入和输出,"A,B,C,D",绪论
图的四中存储结构 A . 邻接矩阵 B . 邻接表 C . 邻接多重表 D . 十字链表,"A,B,C,D",图
依据所有数据成员之间的逻辑关系的不同，数据结构分为（） A . 非线性结构 B . 逻辑结构 C . 物理结构 D . 线性结构,"A,D",绪论
图的应用算法有（） A . 克鲁斯卡尔算法 B . 哈弗曼算法 C . 迪杰斯特拉算法 D . 拓扑排序算法,"A,C,D",图
计算机算法必须具备________________等特性。 A . 可行性、确定性 B . 可行性、可移植性 C . 输入、输出 D . 有穷性 E . 易读性 F . 稳定性,"A,C,D",绪论
下列数据结构中，属于线性数据结构的是____ A . 栈 B . 队列 C . 树 D . 图,"A,B",线性表
下列说法正确的有： A . 算法和程序原则上没有区别，在讨论数据结构时二者通用 B . 从逻辑关系上讲，数据结构分为两大类：线性结构和非线性结构 C . 所谓数据的逻辑结构是指数据元素之间的逻辑关系 D . 同一数据逻辑结构中的所有数据元素都具有相同的特性是指数据元素所包含的数据项的个数相等 E . 数据的逻辑结构与数据元素本身的内容和形式无关 F . 数据结构是指相互之间存在一种或多种关系的数据元素的全体,"B,C,E",绪论
线性表的特点正确的（） A . 存在唯一的一个被称作”第一个“的数据元素。 B . 不存在唯一的一个被称作”第一个“的数据元素。 C . 存在唯一的一个被称作”最后一个“的数据元素。 D . 不存在唯一的一个被称作”最后一个“的数据元素。,"A,C",线性表
下面关于线性表的叙述正确的是（ ）。 A . 线性表采用顺序存储必须占用一片连续的存储空间 B . 线性表采用链式存储不必占用一片连续的存储空间 C . 线性表采用链式存储便于插入和删除操作的实现 D . 线性表采用顺序存储便于插入和删除操作的实现,"A,B,C",线性表
下列哪一条不是顺序存储结构的优点？ A . 存储密度大 B . 插入运算方便 C . 可方便的用于各种逻辑结构的存储表示 D . 删除运算方便,"B,C,D",线性表
线性表的顺序存储结构是一种（）的存储结构 A . 随机存取 B . 顺序存取 C . 索引存取 D . 散列存取,"A,B",线性表
树的表示方法有以下哪几种？（） A . 直观表示法 B . 嵌套集合表示法 C . 凹入表示法 D . 广义表表示法,"A,B,C,D",树和二叉树
串是一种特殊的线性表，下列不能体现其特殊性的是（ ） A . 可以顺序存储 B . 数据元素是一个字符 C . 可以链接存储 D . 数据元素可以是多个字符,"A,C,D",串
"下列存储形式中,( ) 是树的存储形式 A . 双亲表示法 B . 左子女右兄弟表示法 C . 广义表表示法 D . 顺序表示法","A,B,D",树和二叉树
下列说法正确的是 （） A . 当队列中无数据元素时，称为空队列。 B . 队列被称为“先进后出”表。 C . 栈是一种操作不受限的线性表。 D . .栈是一种只允许在一端进行插入和删除的线性表,"A,D",栈和队列
便于插入和删除操作的是（） A . 静态链表 B . 单链表 C . 顺序表 D . 双链表 E . 循环链表,"A,B,D,E",线性表
以下哪些是线性表？ A . 集合 B . 栈 C . 队列 D . 二叉树,"B,C",线性表
下列不属于数组的主要操作的是（ ） A . 存取 B . 修改 C . 插入 D . 删除 E . 检索（查找）,"C,D",数组和广义表
操作系统中动态存储管理方法包括_______. A . 边界标识法 B . 伙伴系统 C . 中央标识法 D . 朋友系统,"A,B",动态存储管理
完全二叉树（） A . 适合于顺序结构存储 B . 不一定适合顺序结构存储 C . 叶子结点可在任一层出现 D . 某些结点有右子树则必有左子树,"A,D",树和二叉树
下列说法正确的是 A . 在图形结构中，结点之间的关系可以是任意的 B . 在树形结构中，数据元素之间没有明显的层次关系 C . 在树形结构中，数据元素之间仅有线性关系 D . 在线性表中，数据元素之间仅有线性关系,"A,B,D",图
下面的叙述不正确的是（） A . 线性表在链式存储时，查找第i个元素的时间同i值无关 B . 线性表在链式存储时，查找第i个元素的时间同i值成正比 C . 线性表在顺序存储时，查找第i元素的时间同i值无关 D . 线性表在顺序存储时，查找第i个元素的时间同i值成正比,"A,D",线性表
下列说法错误的是 （） A . 利用一组地址连续的存储单元依次存放自栈底到栈顶的数据元素，这种形式的栈也称为顺序栈。 B . top=0时为空栈，元素进栈时指针top不断地减1。 C . 当top等于数组的最大下标值时则栈满。 D . 栈不能对输入序列部分或全局起求逆作用,"B,D",栈和队列
"广义表((a),a)的表头是-----表尾是----- A . a B . b C . (a) D . ((a))",C,数组和广义表
二叉树是有（）基本单元构成。 A . 根节点 B . 叶节点 C . 左子树 D . 右子树,"A,C,D",树和二叉树
下列哪些是图的遍历 A . 深度优先搜索 B . 广度优先搜索 C . 先根遍历 D . 中根遍历,"A,B",图
下列数据结构中，属于线性数据结构的是____。 A . 树 B . 栈 C . 队列 D . 图,"B,C",线性表
对广义表来说，下面哪些是正确的（） A . 广义表是一种多层次的结构 B . 广义表是一种非线性结构 C . 广义表是一种共享结构 D . 广义表是一种递归表 E . 广义表是一种单链表结构,"A,B,C,D,E",数组和广义表
以下（ ）属于设计一个“好”的算法应考虑达到的目标。 A . 正确性 B . 可读性 C . 健壮性 D . 效率与低存储量要求,"A,B,C,D",绪论
下列属于算法的重要特征的是： A . 有穷性 B . 确定性 C . 可行性 D . 输入和输出,"A,B,C,D",绪论
抽象数据类型按其值的不同特性可分为_____。 A . 分子类型 B . 原子类型 C . 离子类型 D . 可变聚合类型 E . 固定聚合类型,"B,D,E",绪论
从表中任一结点出发都能扫描整个表的是（） A . 静态链表 B . 单链表 C . 顺序表 D . 双链表 E . 循环链表,"D,E",线性表
下列说法正确的是： A . 线性表中数据元素之间仅有线性关系 B . 在图形结构中节点之间的关系可以是任意的 C . 简单路径中序列中顶点可以重复出现 D . 邻接表是图的一种链式存储结构,"A,B,D",图
下面属于常用的表示树的链表结构的有（） A . 双亲表示法 B . 孩子表示法 C . 孩子兄弟表示法 D . 姐姐表示法,"A,B,C",树和二叉树
有向图的联通包括（ ） A . 弱联通 B . 强联通 C . 多侧联通 D . 单侧联通,"A,B,C",图
如下陈述中错误的是（ ） A . 串是一种特殊的线性表 B . 串的长度必须大于零 C . 串中元素只能是字母 D . 空串就是空白串,"B,C,D",串
对一个算法的评价，包括如下（）方面的内容。 A . 可读性 B . 并行性 C . 正确性 D . 空间复杂度,"A,C,D",绪论
"已知一个栈的进栈序列是a1,a2,a3....an.其输出序列为1,2,3...n,若a3=1则a1为 A . 可能是2 B . 一定是2 C . 不可能是2 D . 不可能是3 E . 可能是3","C,E",栈和队列
下面关于线性表的叙述正确的是（ ）。 A . 片连续的存线性表采用顺序存储必须占用一储空间 B . 线性表采用链式存储不必占用一片连续的存储空间 C . 线性表采用链式存储便于插入和删除操作的实现 D . 线性表采用顺序存储便于插入和删除操作的实现,"A,B,C",线性表
下列说法正确的是（） A . 边界标识法是操作系统中用以进行动态分区分配的一种存储管理方法 B . 伙伴系统是一种动态存储管理方法。 C . 存储紧缩是一种动态存储管理方法 D . 存储紧缩的优点是算法简单、速度快,"A,B,C",动态存储管理
线性结构的特点是（） A . 集合中必存在唯一的一个“第一元素” B . 集合中必存在唯一的一个 “最后元素” C . 除最后元素在外，均有 唯一的后继 D . 除第一元素之外，均有 唯一的前驱。,"A,B,C,D",线性表
下列关于链式存储结构，那一项是正确的（ ） A . 结点除自身信息外还包括指针域，因此存储密度小于顺序存储结构B . 逻辑上相邻的结点物理上不必邻接C . 可以通过计算直接确定第i个结点的存储地址D . 插入、删除操作方便，不必移动结点 A . B . C . D .,"A,B,D",线性表
以下（ ）属于串的机内表示方法。 A . 定长顺序存储表示 B . 堆分配存储表示 C . 串的块链存储表示 D . 定位顺序存储表示,"A,B,C",串
"下列说法正确的选项有( ). A . 栈和队列是两种操作受限的线性表. B . 栈限定仅在表尾进行插入或删除操作. C . 队列只允许在表的一端进行插入,而在另一端删除. D . 双端队列是限定在表的两端进行插入或删除操作.","A,B,C,D",栈和队列
